ID,Titulo,Historia,Epica,Prioridad,Puntos,Sprint,Tipo
HU-15,Endpoint de explicabilidad,"Como desarrollador integrador quiero consultar el desglose completo del calculo de una recomendacion para auditar de forma independiente como se produjo.",Explicabilidad,Alta,8,Sprint 2,Funcional
HU-16,Tarjeta de match explicada,"Como candidato quiero ver cada recomendacion en una tarjeta que muestre el porcentaje de ajuste y la contribucion de cada componente del calculo para entender de inmediato mi resultado.",Explicabilidad,Alta,5,Sprint 1,Funcional
HU-17,Ranking explicado para el reclutador,"Como reclutador quiero ver los candidatos de mi vacante ordenados por ajuste y con la evidencia de cada posicion para sustentar mi preseleccion con criterios verificables.",Explicabilidad,Alta,8,Sprint 3,Funcional
HU-18,Visualizacion del subgrafo,"Como candidato quiero visualizar el subgrafo que conecta mis habilidades con la vacante distinguiendo con color las cubiertas y las faltantes para comprender visualmente mi ajuste.",Explicabilidad,Media,8,Sprint 3,Funcional
HU-19,Ruta de cierre de brecha,"Como candidato quiero conocer las habilidades que me faltan con su peso y una estimacion del ajuste que alcanzaria al adquirirlas para decidir en que invertir mi tiempo de formacion.",Explicabilidad,Media,8,Sprint 4,Funcional
HU-20,Auditoria y habeas data,"Como administrador del sistema quiero que cada recomendacion quede registrada con su version y pesos y que el candidato pueda solicitar la eliminacion de sus datos para cumplir la Ley 1581 de 2012.",Cumplimiento,Media,5,Sprint 4,No funcional - Trazabilidad y privacidad
HU-21,Tiempo de respuesta del motor,"Como candidato quiero que mis recomendaciones se calculen en menos de 800 ms en el percentil 95 con 500 candidatos y 200 vacantes activas para que la consulta se perciba inmediata.",Rendimiento,Alta,8,Sprint 2,No funcional - Rendimiento
HU-22,Cache de resultados de matching,"Como lider tecnico quiero que los resultados de matching se almacenen en cache y solo se recalculen cuando cambie el perfil o la vacante para reducir el consumo de computo.",Rendimiento,Baja,5,Sprint 4,No funcional - Sostenibilidad
HU-23,Inicio de sesion federado,"Como candidato quiero iniciar sesion con mi cuenta de Google Apple o Microsoft para entrar sin crear otra contrasena.",Identidad y acceso,Media,8,Sprint 2,Funcional
HU-24,Deteccion de cuenta por correo,"Como candidato quiero que la plataforma detecte con solo mi correo si ya tengo cuenta y me lleve a la pantalla correcta para no equivocarme entre registrarme e iniciar sesion.",Identidad y acceso,Alta,3,Sprint 1,Funcional
HU-25,Cuestionario inicial de preferencias,"Como candidato quiero responder un cuestionario breve sobre el rol la modalidad el salario y las habilidades que busco para que las recomendaciones partan de lo que realmente necesito.",Perfil y habilidades,Alta,8,Sprint 1,Funcional
HU-26,Carga de hoja de vida y documentos,"Como candidato quiero cargar mi hoja de vida mi documento de identidad y mis certificados para que el contratante tenga todo lo necesario al momento de evaluarme.",Perfil y habilidades,Alta,8,Sprint 2,Funcional
HU-27,Historial de busquedas,"Como candidato quiero ver mis ultimas busquedas debajo del buscador y poder borrarlas para retomar rapidamente una busqueda anterior.",Busqueda,Media,3,Sprint 2,Funcional
HU-28,Vacantes guardadas,"Como candidato quiero guardar con un corazon las vacantes que me interesan y revisarlas en un solo lugar para hacerles seguimiento sin postularme de inmediato.",Busqueda,Alta,5,Sprint 2,Funcional
HU-29,Edicion de perfil desde Ajustes,"Como candidato quiero editar desde Ajustes mi informacion personal mi hoja de vida y el nivel de cada habilidad para mantener mi perfil vigente sin repetir todo el registro.",Perfil y habilidades,Alta,8,Sprint 2,Funcional
HU-30,Modo oscuro y accesibilidad,"Como candidato quiero alternar entre modo claro y modo oscuro ampliar el texto y reducir las animaciones para usar la plataforma comodamente segun mi entorno.",Accesibilidad,Media,5,Sprint 2,No funcional - Accesibilidad
